Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Cheese sauce,Continental/Global Cuisine,Sauce/Condiment,Veg,A vegetarian sauce/condiment typically made with cheese.,Cheese,,194.76,7.68,7.08,15.12,4.53,0.12,317.38,255.14,0.31,,,"Cheese, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Cheese (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Cheese soup,Continental/Global Cuisine,Soup,Veg,A vegetarian soup typically made with cheese.,Cheese,,41.13,12.39,1.87,17.07,0.84,1.8,13695.35,83.65,2.4,5.29,20.27,"Cheese, Stock/Water, Onion, Salt, Pepper, Butter/Oil","Cheese (Balances doshas when eaten fresh and in moderation); Stock/Water (Guru, Ushna, deeply nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
Cheese toast,Continental/Global Cuisine,Bakery (Bread),Veg,A vegetarian bakery typically made with cheese.,Cheese,,785.37,1.98,5.49,84.11,0.53,0.31,121.05,43.87,0.31,0.0,6.85,"Cheese, Refined Flour (Maida), Yeast, Salt, Sugar, Water","Cheese (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Yeast (Neutral, leavening agent); Salt (Ushna, enhances taste, balances electrolytes); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Water (Balances doshas when eaten fresh and in moderation)"
Cherry and walnut cookies,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery typically made with walnut.,Walnut,,422.6,5.63,59.35,18.75,30.37,1.3,114.62,46.27,1.31,0.0,2.49,"Walnut, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Walnut (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Chicken and corn open sandwich,Continental/Global Cuisine,Sandwich/Burger,Non-Veg,A non-vegetarian sandwich/burger typically made with chicken.,Chicken,,188.16,8.63,19.21,8.83,2.48,1.67,226.72,65.13,0.8,2.12,14.16,"Chicken, Bread, Butter, Salt, Pepper","Chicken (Guru, Ushna, builds strength); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Chicken consomme (Clear chicken soup),Continental/Global Cuisine,Soup,Non-Veg,A non-vegetarian soup typically made with chicken.,Chicken,,47.94,11.47,1.19,12.02,0.54,1.57,8953.64,35.48,1.82,2.1,11.38,"Chicken, Stock/Water, Onion, Salt, Pepper, Butter/Oil","Chicken (Guru, Ushna, builds strength); Stock/Water (Guru, Ushna, deeply nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
Chicken salad,Continental/Global Cuisine,Salad,Non-Veg,A non-vegetarian salad typically made with chicken.,Chicken,,338.19,15.33,1.3,30.26,0.96,2.0,50.62,43.19,1.23,4.92,35.5,"Chicken, Salt, Pepper, Lemon Juice, Oil/Dressing","Chicken (Guru, Ushna, builds strength); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Lemon Juice (Amla, alkalising, stimulates Agni); Oil/Dressing (Snigdha, unctuous, balances Vata)"
Chicken sandwich,Continental/Global Cuisine,Sandwich/Burger,Non-Veg,A non-vegetarian sandwich/burger typically made with chicken.,Chicken,,253.27,13.12,25.38,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,"Chicken, Bread, Butter, Salt, Pepper","Chicken (Guru, Ushna, builds strength); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Chicken sandwich (toasted),Continental/Global Cuisine,Sandwich/Burger,Non-Veg,A non-vegetarian sandwich/burger typically made with chicken.,Chicken,,167.37,12.08,18.82,5.32,2.13,1.64,327.55,99.99,0.99,12.97,20.71,"Chicken, Bread, Butter, Salt, Pepper","Chicken (Guru, Ushna, builds strength); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Chicken sweet corn soup,Continental/Global Cuisine,Soup,Non-Veg,A non-vegetarian soup typically made with chicken.,Chicken,,28.32,14.48,1.63,12.59,0.27,0.47,12205.33,91.5,3.83,2.02,13.45,"Chicken, Stock/Water, Onion, Salt, Pepper, Butter/Oil","Chicken (Guru, Ushna, builds strength); Stock/Water (Guru, Ushna, deeply nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Continental/Global Cuisine,Sandwich/Burger,Non-Veg,"A non-vegetarian sandwich/burger typically made with chicken, walnut.","Chicken, Walnut",,285.78,12.58,22.62,16.77,1.77,1.53,287.39,78.45,1.12,0.0,12.99,"Chicken, Walnut, Bread, Butter, Salt, Pepper","Chicken (Guru, Ushna, builds strength); Walnut (Balances doshas when eaten fresh and in moderation); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Chickpea flour cookies (Sweet besan rounds/cookies),Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery typically made with gram flour.,Gram Flour,,207.01,4.29,39.64,3.42,30.66,2.56,22.29,54.95,2.16,0.39,10.0,"Gram Flour, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Gram Flour (Laghu, light, balances Kapha); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Chocochip ice cream,Continental/Global Cuisine,Dessert (Ice Cream),Veg,A vegetarian dessert typically made with cream.,Cream,,241.45,4.23,16.75,17.93,16.08,0.0,34.84,73.22,0.51,2.13,24.1,"Cream, Milk, Fresh Cream, Sugar","Cream (Guru, Snigdha, heavy and nourishing); Milk (Guru, Shita, cooling and building, balances Pitta); Fresh Cream (Guru, Snigdha, heavy and nourishing); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha)"
Chocolate biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery typically made with cocoa/chocolate.,Cocoa/Chocolate,,379.76,5.88,51.56,17.09,24.16,1.01,127.02,41.51,1.14,0.03,1.81,"Cocoa/Chocolate, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Cocoa/Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Chocolate cake,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with cocoa/chocolate.,Cocoa/Chocolate,,335.61,6.01,45.14,15.18,27.58,0.64,241.93,41.13,1.08,0.15,9.21,"Cocoa/Chocolate, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Cocoa/Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Chocolate chiffon cake,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with cocoa/chocolate.,Cocoa/Chocolate,,311.71,5.76,37.87,15.8,24.25,0.7,188.59,42.15,1.07,0.21,12.0,"Cocoa/Chocolate, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Cocoa/Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Chocolate chip cookies,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery typically made with cocoa/chocolate.,Cocoa/Chocolate,,425.29,5.79,57.98,19.38,30.29,1.05,278.29,24.76,1.22,0.0,2.62,"Cocoa/Chocolate, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Cocoa/Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Chocolate eggless cake,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,"A vegetarian bakery typically made with egg, cocoa/chocolate.","Cocoa/Chocolate, Curd (egg substitute)",,312.01,6.66,43.45,13.19,34.2,0.32,196.61,185.38,0.95,2.67,14.7,"Cocoa/Chocolate, Curd (egg substitute), Refined Flour (Maida), Sugar, Butter, Baking Powder, Milk","Cocoa/Chocolate (Guru, Ushna, stimulating); Curd (egg substitute) (Amla, Guru, sour and cooling in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Chocolate ice cream,Continental/Global Cuisine,Dessert (Ice Cream),Veg,"A vegetarian dessert typically made with cream, cocoa/chocolate.","Cream, Cocoa/Chocolate",,177.7,4.47,15.41,11.25,15.33,0.0,36.79,84.24,0.47,4.06,43.75,"Cream, Cocoa/Chocolate, Milk, Fresh Cream, Sugar","Cream (Guru, Snigdha, heavy and nourishing); Cocoa/Chocolate (Guru, Ushna, stimulating); Milk (Guru, Shita, cooling and building, balances Pitta); Fresh Cream (Guru, Snigdha, heavy and nourishing); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha)"
Chocolate meringue pie,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with cocoa/chocolate.,Cocoa/Chocolate,,214.76,4.98,28.8,9.17,15.03,0.37,80.77,55.98,0.92,1.26,23.21,"Cocoa/Chocolate, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Cocoa/Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Chocolate sauce,Continental/Global Cuisine,Sauce/Condiment,Veg,A vegetarian sauce/condiment typically made with cocoa/chocolate.,Cocoa/Chocolate,,263.2,1.91,43.21,10.39,42.06,0.0,2.8,18.8,1.13,0.0,0.63,"Cocoa/Chocolate, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Cocoa/Chocolate (Guru, Ushna, stimulating); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Chocolate sponge cake,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with cocoa/chocolate.,Cocoa/Chocolate,,239.86,9.13,39.54,5.51,25.0,0.52,61.47,33.99,1.81,0.0,19.87,"Cocoa/Chocolate, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Cocoa/Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,"A vegetarian bakery typically made with walnut, cocoa/chocolate.","Walnut, Cocoa/Chocolate",,424.8,6.56,47.1,23.62,22.58,1.54,280.44,36.1,1.37,0.16,4.22,"Walnut, Cocoa/Chocolate, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Walnut (Balances doshas when eaten fresh and in moderation); Cocoa/Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Choconut ice cream,Continental/Global Cuisine,Dessert (Ice Cream),Veg,A vegetarian dessert typically made with cream.,Cream,,273.96,5.04,23.13,18.49,21.02,0.51,29.83,67.38,0.89,2.17,29.32,"Cream, Milk, Fresh Cream, Sugar","Cream (Guru, Snigdha, heavy and nourishing); Milk (Guru, Shita, cooling and building, balances Pitta); Fresh Cream (Guru, Snigdha, heavy and nourishing); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha)"
Christmas bell biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Butter,,404.85,5.66,60.79,15.84,25.94,2.33,127.01,32.0,1.22,0.0,2.42,"Butter, Refined Flour (Maida), Sugar, Baking Powder, Egg","Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Christmas biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Butter,,406.07,5.67,60.97,15.88,26.01,2.17,127.36,29.07,1.2,0.0,2.42,"Butter, Refined Flour (Maida), Sugar, Baking Powder, Egg","Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Christmas cake,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery.,Dry Fruits,,372.95,5.49,48.29,16.88,27.45,1.49,64.84,40.98,1.32,8.51,17.06,"Dry Fruits, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Dry Fruits (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Christmas star biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Butter,,392.03,3.54,74.54,10.04,53.05,1.47,76.09,22.75,0.96,0.01,2.69,"Butter, Refined Flour (Maida), Sugar, Baking Powder, Egg","Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Christmas tree biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Butter,,385.63,5.43,58.41,15.0,24.77,2.65,120.45,35.04,1.18,1.61,2.58,"Butter, Refined Flour (Maida), Sugar, Baking Powder, Egg","Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Christmas wreath biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Butter,,386.05,5.43,58.07,15.01,24.89,2.28,120.2,29.71,1.21,2.28,2.53,"Butter, Refined Flour (Maida), Sugar, Baking Powder, Egg","Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Classic club sandwich,Continental/Global Cuisine,Sandwich/Burger,Non-Veg,A vegetarian sandwich/burger.,Chicken,,200.83,6.74,18.49,11.56,1.86,1.62,277.49,107.73,1.09,16.19,56.9,"Chicken, Bread, Butter, Salt, Pepper","Chicken (Guru, Ushna, builds strength); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Classic italian pasta,Continental/Global Cuisine,Continental/Fusion Main,Veg,A vegetarian continental/fusion main typically made with pasta.,Pasta,,42.12,0.57,4.4,2.45,2.94,1.36,49.04,19.55,0.41,,,"Pasta, Onion, Garlic, Olive Oil, Salt, Pepper, Mixed Herbs","Pasta (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Garlic (Ushna, heating, balances Vata and Kapha); Olive Oil (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Mixed Herbs (Balances doshas when eaten fresh and in moderation)"
Clear tomato soup (Tamatar ka soup),Continental/Global Cuisine,Soup,Veg,"A vegetarian soup typically made with tomato, green peas.","Tomato, Green Peas",,80.07,4.79,3.45,12.22,1.44,1.96,5135.74,29.05,1.14,53.16,43.91,"Tomato, Green Peas, Stock/Water, Onion, Salt, Pepper, Butter/Oil","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Green Peas (Balances doshas when eaten fresh and in moderation); Stock/Water (Guru, Ushna, deeply nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
